date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:20:46	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Aug%202025%2009:20:44%20GMT	https://web.archive.org/robots.txt		(from )
02:20:49	4080/4080	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202025%2009:20:45%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/index.html	(from )
02:20:50	26452/26452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:28%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=FC38Hc5A	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web-static.archive.org/_static/js/bundle-playback0e4c.js	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:50	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:28%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:51	9868/9868	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:51	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:29%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:52	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:50%20GMT	https://web.archive.org/web/20181129180103im_/http://homepages.paradise.net.nz/djgriff/griffiths.jpg	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103im_/http_/homepages.paradise.net.nz/djgriff/griffiths.jpg	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:53	18576/18576	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Aug%202025%2009:20:51%20GMT	https://web.archive.org/web/20181129184615im_/http://homepages.paradise.net.nz/djgriff/griffiths.jpg	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129184615im_/http_/homepages.paradise.net.nz/djgriff/griffiths.jpg	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:51%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/indej.htm	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/indej.htm	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:52%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/becg01.htm	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/becg01.htm	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:52%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/pafn13.html	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/pafn13.html	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:53%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/indel.htm	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/indel.htm	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:53%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/pamx.html	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/pamx.html	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:54%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/inder.htm	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/inder.htm	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:55%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/pawn01.html	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/pawn01.html	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:58	4220/4220	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202025%2009:20:56%20GMT	https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/patx.html	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103/http_/homepages.paradise.net.nz/djgriff/patx.html	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:56%20GMT	https://web.archive.org/web/20181129180103im_/http://homepages.paradise.net.nz/djgriff/Griffiths,Dave%20aged%202.3years.gif	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103im_/http_/homepages.paradise.net.nz/djgriff/Griffiths,Dave%20aged%202.3years.gif	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:20:59	18014/18014	---M--	200	added ('OK')	image/gif	date:Mon,%2025%20Aug%202025%2009:20:57%20GMT	https://web.archive.org/web/20181129184613im_/http://homepages.paradise.net.nz/djgriff/Griffiths,Dave%20aged%202.3years.gif	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129184613im_/http_/homepages.paradise.net.nz/djgriff/Griffiths,Dave%20aged%202.3years.gif	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
02:21:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2025%20Aug%202025%2009:20:58%20GMT	https://web.archive.org/web/20181129180103im_/http://homepages.paradise.net.nz/djgriff/email.jpg	G:/My%20Drive/FAMILY%20ANCESTRY/FAMILY%20ANCESTRY/web.archive.org/web/20181129180103im_/http_/homepages.paradise.net.nz/djgriff/email.jpg	(from https://web.archive.org/web/20181129180103/http://homepages.paradise.net.nz/djgriff/)
